peak_id,type,amp,cen,wid,sigma,gamma,bg_type,bg_coeffs,errors,d_amp,d_cen,d_wid
1a,gaussian,0.9898137099122127,162.98508810149244,-0.12097211298757964,,,constant,[0.0],,1.2023675030672993e+18,3.0290356517239e+17,7.214243747821142e+18
1b,gaussian,7646.5053348174515,301.8557645306167,27.255506144050482,,,constant,[0.0],,181659.94245044744,327.1122959243399,41.26989054261868
